Generation 1, Best: 213,03, Average: -198,5608, Worst: -260,55
Generation 2, Best: 213,03, Average: -152,3673, Worst: -260,55
Generation 3, Best: 468,9901, Average: -146,4021, Worst: -259,65
Generation 4, Best: 506,07, Average: -106,8723, Worst: -257,85
Generation 5, Best: 506,07, Average: -85,09231, Worst: -259,65
Generation 6, Best: 246,51, Average: -51,633, Worst: -260,55
Generation 7, Best: 268,11, Average: 0,5580099, Worst: -259,65
Generation 8, Best: 296,37, Average: 24,93001, Worst: -259,65
Generation 9, Best: 296,37, Average: 30,11039, Worst: -260,55
Generation 10, Best: 311,67, Average: 74,30851, Worst: -260,55
Generation 11, Best: 296,37, Average: 89,67606, Worst: -260,55
Generation 12, Best: 317,07, Average: 100,3671, Worst: -260,55
Generation 13, Best: 324,27, Average: 98,46722, Worst: -259,65
Generation 14, Best: 324,27, Average: 122,9212, Worst: -259,65
Generation 15, Best: 337,05, Average: 148,8618, Worst: -260,55
Generation 16, Best: 382,23, Average: 173,8575, Worst: -251,55
Generation 17, Best: 492,57, Average: 206,1936, Worst: -259,65
Generation 18, Best: 492,57, Average: 198,387, Worst: -259,65
Generation 19, Best: 492,57, Average: 242,9315, Worst: -259,65
Generation 20, Best: 492,57, Average: 222,5304, Worst: -256,95
Generation 21, Best: 492,57, Average: 232,0713, Worst: -259,65
Generation 22, Best: 503,37, Average: 285,5412, Worst: -249,75
Generation 23, Best: 503,37, Average: 251,3942, Worst: -260,55
Generation 24, Best: 611,0101, Average: 288,4347, Worst: -261,45
Generation 25, Best: 611,0101, Average: 246,6819, Worst: -259,65
Generation 26, Best: 611,0101, Average: 256,7133, Worst: -260,55
Generation 27, Best: 611,0101, Average: 207,7038, Worst: -259,65
Generation 28, Best: 611,0101, Average: 173,6155, Worst: -259,65
Generation 29, Best: 611,91, Average: 192,7099, Worst: -259,65
Generation 30, Best: 613,71, Average: 174,7251, Worst: -260,55
Generation 31, Best: 613,71, Average: 172,9044, Worst: -259,65
Generation 32, Best: 613,71, Average: 215,4069, Worst: -260,55
Generation 33, Best: 613,71, Average: 197,3349, Worst: -259,65
Generation 34, Best: 613,71, Average: 180,8938, Worst: -260,55
Generation 35, Best: 613,71, Average: 139,0177, Worst: -260,55
Generation 36, Best: 637,29, Average: 104,2785, Worst: -260,55
Generation 37, Best: 637,29, Average: 101,2328, Worst: -259,65
Generation 38, Best: 641,79, Average: 102,4974, Worst: -259,65
Generation 39, Best: 646,29, Average: 124,578, Worst: -260,55
Generation 40, Best: 646,29, Average: 161,9874, Worst: -260,55
Generation 41, Best: 646,29, Average: 126,4464, Worst: -255,15
Generation 42, Best: 646,29, Average: 153,6525, Worst: -259,65
Generation 43, Best: 667,17, Average: 183,3615, Worst: -260,55
Generation 44, Best: 667,17, Average: 244,4868, Worst: -257,85
Generation 45, Best: 644,4901, Average: 192,0825, Worst: -259,65
Generation 46, Best: 648,9901, Average: 221,8834, Worst: -259,65
Generation 47, Best: 648,9901, Average: 70,26485, Worst: -259,65
Generation 48, Best: 648,9901, Average: 83,27525, Worst: -257,85
Generation 49, Best: 641,79, Average: 136,9063, Worst: -259,65
Generation 50, Best: 721,35, Average: 120,3255, Worst: -252,45
Generation 51, Best: 784,71, Average: 149,2624, Worst: -259,65
Generation 52, Best: 784,71, Average: 166,7269, Worst: -259,65
